index,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
50000,0.9823102355003357,0.021810807287693024,0.9107983112335205,0.9756903648376465,0.9804609417915344,0.9989172220230103,0.04593944922089577,0.9723409414291382,0.9990668892860413,0.9815927147865295,0.013629423454403877,0.024197790771722794,0.022339126095175743,0.051217567175626755,0.04361661896109581,0.18082086741924286,0.17130985856056213,0.04693333059549332,0.015697166323661804,0.9662411212921143,0.9908275008201599,0.5160152912139893,0.046295177191495895,0.9897472858428955,0.06752794981002808,0.9426953792572021
50001,0.04122447595000267,0.9627361297607422,0.46698513627052307,0.1301746666431427,0.9860449433326721,0.0764375701546669,0.9912770986557007,0.02775522880256176,0.8859705328941345,0.42878565192222595,0.9655473828315735,0.9270156025886536,0.04574212804436684,0.03538084030151367,0.8388553261756897,0.9940903782844543,0.6545393466949463,0.5648900866508484,0.12615953385829926,0.052889540791511536,0.993470311164856,0.960953950881958,0.029949747025966644,0.020030908286571503,0.1602507382631302,0.01470098178833723
50002,0.028396427631378174,0.029557297006249428,0.7379690408706665,0.9660164713859558,0.9825881719589233,0.013316981494426727,0.9901512861251831,0.6312921643257141,0.9987003803253174,0.07341042160987854,0.9284684062004089,0.7211682796478271,0.03876009210944176,0.9519490003585815,0.14813674986362457,0.9964665174484253,0.04068537801504135,0.9865999817848206,0.9998819828033447,0.053856853395700455,0.9898410439491272,0.13628561794757843,0.9970507621765137,0.02696707844734192,0.04043884947896004,0.9891891479492188
50003,0.4016096293926239,0.9534639120101929,0.01121747586876154,0.16124439239501953,0.006135689560323954,0.3294128477573395,0.9388036727905273,0.07914941012859344,0.9889935851097107,0.14805659651756287,0.9981864094734192,0.9933019876480103,0.9735259413719177,0.02182765118777752,0.012756742537021637,0.964962899684906,0.1213158443570137,0.1070186197757721,0.06327519565820694,0.9999822378158569,0.023243412375450134,0.16776292026042938,0.054045356810092926,0.999470055103302,0.22094522416591644,0.9913478493690491
50004,0.01822165586054325,0.015933793038129807,0.9723795056343079,0.016480976715683937,0.9980078339576721,0.9970952272415161,0.06833293288946152,0.03483472764492035,0.05416426062583923,0.09450093656778336,0.006802968215197325,0.936266303062439,0.9932830333709717,0.02757531963288784,0.9814822673797607,0.16816411912441254,0.9934385418891907,0.21998368203639984,0.9888908863067627,0.9917814135551453,0.9256157875061035,0.11657562106847763,0.9823271036148071,0.017269106581807137,0.06293559074401855,0.04386744648218155
50005,0.05540388450026512,0.9890545606613159,0.9901885390281677,0.10210663080215454,0.026740841567516327,0.31081849336624146,0.05051816254854202,0.08445130288600922,0.12369472533464432,0.9934367537498474,0.037742819637060165,0.07500670850276947,0.07276257127523422,0.967004656791687,0.9350603818893433,0.15329033136367798,0.9547666907310486,0.043396491557359695,0.02039710246026516,0.07277423143386841,0.7035975456237793,0.018612883985042572,0.9784441590309143,0.9482230544090271,0.946877121925354,0.02283008024096489
50006,0.04336884617805481,0.03657068312168121,0.9836040139198303,0.08855791389942169,0.967717170715332,0.9423869252204895,0.049134109169244766,0.07494519650936127,0.06670930981636047,0.10054611414670944,0.04337265342473984,0.15446457266807556,0.04998747631907463,0.03861914575099945,0.02423686720430851,0.21652263402938843,0.9672300219535828,0.048853613436222076,0.99644935131073,0.9918495416641235,0.9966928958892822,0.04845518246293068,0.9851261377334595,0.9551047682762146,0.07038582861423492,0.034455325454473495
50007,0.9088667035102844,0.01679958961904049,0.9631428122520447,0.011244884692132473,0.9994122982025146,0.0471922904253006,0.01781730353832245,0.9977216124534607,0.04378806799650192,0.9359652400016785,0.008533910848200321,0.020665841177105904,0.9134916067123413,0.04698420315980911,0.9959049820899963,0.021879583597183228,0.06794167309999466,0.09814227372407913,0.011057368479669094,0.5806884765625,0.009447296150028706,0.9757011532783508,0.9967060685157776,0.3632492423057556,0.030586637556552887,0.010924089699983597
50008,0.04655352607369423,0.010513156652450562,0.22235924005508423,0.05937882512807846,0.9972321391105652,0.7512603402137756,0.894111692905426,0.06331747025251389,0.9923005104064941,0.999139666557312,0.06860005855560303,0.4697190225124359,0.9701306223869324,0.19180035591125488,0.02304629608988762,0.9023120403289795,0.25362256169319153,0.9985106587409973,0.9946104288101196,0.21301445364952087,0.4182766377925873,0.8914760947227478,0.9453725218772888,0.34408125281333923,0.23370657861232758,0.9999855756759644
50009,0.9392508268356323,0.8595098257064819,0.3330797553062439,0.9999518394470215,0.027336306869983673,0.0781073346734047,0.5670928955078125,0.9997933506965637,0.09321654587984085,0.09707706421613693,0.07952974736690521,0.9997645020484924,0.03415743634104729,0.6343135833740234,0.032311148941516876,0.24562866985797882,0.9885960221290588,0.9947788715362549,0.021376879885792732,0.9412162899971008,0.9922072291374207,0.029263433068990707,0.02718295343220234,0.02689652517437935,0.21305717527866364,0.9902315735816956
50010,0.045227933675050735,0.9954643845558167,0.023427873849868774,0.022089039906859398,0.013724256306886673,0.1200280413031578,0.04223538935184479,0.9529358148574829,0.13862501084804535,0.9984740614891052,0.9447100758552551,0.9917744994163513,0.992417573928833,0.10592466592788696,0.9940927624702454,0.03785956650972366,0.9955968260765076,0.9935890436172485,0.04543646425008774,0.023958643898367882,0.9821096658706665,0.9784780740737915,0.03523466736078262,0.02702159807085991,0.030822448432445526,0.9682193398475647
50011,0.9653695821762085,0.03102501481771469,0.7384105920791626,0.02076702192425728,0.6821454167366028,0.04441310465335846,0.9841808080673218,0.9913562536239624,0.12946535646915436,0.9804815649986267,0.012713426724076271,0.04240916296839714,0.01808827556669712,0.06351187080144882,0.02793842740356922,0.9956562519073486,0.9800564646720886,0.024417733773589134,0.9877439141273499,0.9857629537582397,0.9777660369873047,0.11516834795475006,0.44283127784729004,0.03392751142382622,0.03621850907802582,0.013605091720819473
50012,0.9615693688392639,0.033445995301008224,0.9841111898422241,0.027072492986917496,0.997245192527771,0.16146858036518097,0.04200688377022743,0.9846861362457275,0.7900545001029968,0.9951358437538147,0.0447734072804451,0.994371771812439,0.04019583761692047,0.3324858844280243,0.02228100597858429,0.06212189048528671,0.4573863446712494,0.08769126981496811,0.013577806763350964,0.13482898473739624,0.9512393474578857,0.5198801159858704,0.9861835241317749,0.9540781378746033,0.09209888428449631,0.6203758716583252
50013,0.10858745872974396,0.01390798855572939,0.9958426356315613,0.017981644719839096,0.020562825724482536,0.04255888983607292,0.3814796507358551,0.03721216320991516,0.29137298464775085,0.9831199049949646,0.9987825751304626,0.9938501119613647,0.05909803882241249,0.0441390722990036,0.01825788803398609,0.0164016243070364,0.988710343837738,0.02515202946960926,0.9968823194503784,0.13281221687793732,0.04857614263892174,0.9985368251800537,0.02410808764398098,0.9978566765785217,0.9946768283843994,0.08212831616401672
50014,0.26047053933143616,0.9579821228981018,0.7787607312202454,0.976284921169281,0.38652855157852173,0.1670612394809723,0.29137149453163147,0.08373257517814636,0.053837575018405914,0.9945344924926758,0.9823181629180908,0.9282662272453308,0.9628403782844543,0.07854507118463516,0.990766167640686,0.9931054711341858,0.16234885156154633,0.10594555735588074,0.9623967409133911,0.4690682291984558,0.26664668321609497,0.05447916314005852,0.06371550261974335,0.051623713225126266,0.03607820346951485,0.020217478275299072
50015,0.0483703650534153,0.032676368951797485,0.1444869190454483,0.6348536610603333,0.9850637912750244,0.9893561005592346,0.38646984100341797,0.3627091944217682,0.12159638851881027,0.06172722950577736,0.0619596429169178,0.976958155632019,0.04725185036659241,0.9765940308570862,0.08498552441596985,0.1364138126373291,0.946543276309967,0.16358695924282074,0.018989017233252525,0.9190513491630554,0.9958844780921936,0.041066884994506836,0.9540215134620667,0.04620417207479477,0.6537944674491882,0.9989675283432007
50016,0.9726932644844055,0.2280285805463791,0.15736007690429688,0.8270857334136963,0.03847607970237732,0.9925552010536194,0.05431360751390457,0.9988025426864624,0.1741216778755188,0.44691604375839233,0.830877959728241,0.26515230536460876,0.973883867263794,0.1926298588514328,0.02573315054178238,0.8179876208305359,0.1383015364408493,0.8202223777770996,0.9525845050811768,0.49941036105155945,0.9607165455818176,0.09932229667901993,0.0853080153465271,0.06741057336330414,0.9121913909912109,0.9214332103729248
50017,0.04132985696196556,0.43307915329933167,0.13984359800815582,0.14844655990600586,0.030569937080144882,0.11058903485536575,0.9917809367179871,0.07962832599878311,0.06392069905996323,0.17385156452655792,0.019693648442626,0.9837464690208435,0.07235168665647507,0.041656896471977234,0.9660151600837708,0.9977642297744751,0.9984408020973206,0.8962902426719666,0.03787245601415634,0.9585273861885071,0.023692471906542778,0.9874956607818604,0.8530675172805786,0.013572015799582005,0.9607319831848145,0.08035995066165924
50018,0.02877091057598591,0.05493795871734619,0.9928538203239441,0.28285419940948486,0.07517340779304504,0.8924745321273804,0.030993498861789703,0.9416194558143616,0.901642918586731,0.1349228024482727,0.026389237493276596,0.9834787845611572,0.05027614161372185,0.0519225150346756,0.008171179331839085,0.9258660078048706,0.0946626141667366,0.05567840486764908,0.7884195446968079,0.0720181092619896,0.7858789563179016,0.21030724048614502,0.9499460458755493,0.997036337852478,0.1798795461654663,0.034261226654052734
50019,0.832388162612915,0.997133731842041,0.0326387919485569,0.02186092734336853,0.006562290247529745,0.9957253932952881,0.037962283939123154,0.09001320600509644,0.04133281111717224,0.0493440181016922,0.9762591123580933,0.05668996274471283,0.10326864570379257,0.9925317168235779,0.9923464059829712,0.046114031225442886,0.05520803481340408,0.05268258601427078,0.9986420273780823,0.0696396455168724,0.08158911764621735,0.026322025805711746,0.9970927238464355,0.007610974367707968,0.9202635288238525,0.02488229237496853
50020,0.9786072969436646,0.11904951930046082,0.9353680610656738,0.06315276771783829,0.10665380954742432,0.9780991673469543,0.9883367419242859,0.18375064432621002,0.9891604781150818,0.9462193250656128,0.020642146468162537,0.2379637360572815,0.3899214267730713,0.5136315226554871,0.9950727820396423,0.048212338238954544,0.1255980134010315,0.04246286675333977,0.2518303692340851,0.06000754237174988,0.021871808916330338,0.19540062546730042,0.22246190905570984,0.08025169372558594,0.9785057902336121,0.05392561852931976
50021,0.05700105428695679,0.07969324290752411,0.987804651260376,0.14709846675395966,0.11040808260440826,0.9734662771224976,0.7885890603065491,0.9931179285049438,0.09006983786821365,0.09694788604974747,0.3385082483291626,0.09247203916311264,0.34609657526016235,0.15380731225013733,0.9789255857467651,0.12666267156600952,0.09755697846412659,0.9049668312072754,0.9586880803108215,0.9454486966133118,0.9945178627967834,0.08647608757019043,0.29976025223731995,0.1285971999168396,0.21372546255588531,0.051267221570014954
50022,0.27558431029319763,0.9835240244865417,0.9984885454177856,0.3670704662799835,0.9983766078948975,0.6772398948669434,0.9879762530326843,0.11117972433567047,0.08879493921995163,0.997708797454834,0.9913333058357239,0.9776785373687744,0.1315305083990097,0.49802106618881226,0.007409036159515381,0.024953894317150116,0.30104386806488037,0.17701095342636108,0.19701743125915527,0.621038556098938,0.11058154702186584,0.8479036688804626,0.9779085516929626,0.413628488779068,0.5830771327018738,0.996350884437561
50023,0.9889300465583801,0.9888132214546204,0.8933047652244568,0.2162792831659317,0.06299705058336258,0.8158536553382874,0.19291357696056366,0.25687557458877563,0.08147229999303818,0.12805533409118652,0.9885088801383972,0.9756284952163696,0.06419055163860321,0.9481871724128723,0.9101471900939941,0.20495150983333588,0.947975218296051,0.0988285094499588,0.11931470036506653,0.05255795642733574,0.11120965331792831,0.055800050497055054,0.03435783460736275,0.07387851178646088,0.9556425213813782,0.9888578653335571
50024,0.9863570928573608,0.3557385504245758,0.25989794731140137,0.23352426290512085,0.995855987071991,0.15106020867824554,0.04568163678050041,0.990467369556427,0.03661009296774864,0.11309615522623062,0.04508073255419731,0.10997883230447769,0.11395890265703201,0.0941525399684906,0.9843841791152954,0.9962130784988403,0.1084928810596466,0.9957823753356934,0.9956361651420593,0.20880265533924103,0.02414153516292572,0.04378119111061096,0.9881548881530762,0.9814027547836304,0.44892796874046326,0.9832164645195007
50025,0.05903171747922897,0.023019080981612206,0.9890551567077637,0.09513480961322784,0.9979310035705566,0.11340328305959702,0.22570745646953583,0.9964148998260498,0.06680323928594589,0.995274543762207,0.04274813458323479,0.07035960257053375,0.24457044899463654,0.06487157195806503,0.011497165076434612,0.4666842222213745,0.9949826002120972,0.07022581249475479,0.9999421834945679,0.113629549741745,0.9806345701217651,0.9908933639526367,0.9999938011169434,0.02048938348889351,0.07902282476425171,0.9791379570960999
50026,0.9329673647880554,0.029089389368891716,0.9404751658439636,0.6556612849235535,0.03672918304800987,0.05984078720211983,0.12250231951475143,0.0717209056019783,0.8536329865455627,0.2125711739063263,0.10433024913072586,0.12968765199184418,0.6495039463043213,0.9100839495658875,0.031833283603191376,0.37368640303611755,0.2851073741912842,0.9550368189811707,0.888694703578949,0.09144765138626099,0.9847583770751953,0.9809176921844482,0.9761375784873962,0.7771859765052795,0.8752552270889282,0.5045761466026306
50027,0.2790152132511139,0.12290628999471664,0.06461870670318604,0.33843085169792175,0.03128138557076454,0.1971350461244583,0.9921859502792358,0.06842092424631119,0.7704287767410278,0.9698792695999146,0.05379147827625275,0.16738565266132355,0.1520724892616272,0.11709689348936081,0.8377079367637634,0.43243661522865295,0.9911342859268188,0.07941076159477234,0.024142518639564514,0.09320444613695145,0.20873863995075226,0.5279978513717651,0.9735451340675354,0.36813420057296753,0.9955182671546936,0.9490164518356323
50028,0.09405864030122757,0.04979564622044563,0.26405030488967896,0.9001286029815674,0.9950429201126099,0.0771554484963417,0.07443311810493469,0.04153204709291458,0.09012100100517273,0.35070329904556274,0.98172527551651,0.18419726192951202,0.13135944306850433,0.2655215263366699,0.8992388248443604,0.9988124370574951,0.9467928409576416,0.37180790305137634,0.9847341179847717,0.1951536387205124,0.9938561320304871,0.1493586152791977,0.9787192940711975,0.7314755320549011,0.8446861505508423,0.029815850779414177
50029,0.3808037340641022,0.06662295013666153,0.06213991343975067,0.05947723239660263,0.02620575949549675,0.9926204681396484,0.9988853335380554,0.992968738079071,0.12078969925642014,0.07276788353919983,0.18318402767181396,0.0795757994055748,0.15374574065208435,0.985883891582489,0.010859992355108261,0.046592287719249725,0.9837364554405212,0.9970756769180298,0.027735702693462372,0.25773701071739197,0.9952073693275452,0.40717577934265137,0.9395303726196289,0.36147093772888184,0.9874187111854553,0.31133726239204407
50030,0.9996939897537231,0.8297433257102966,0.061476174741983414,0.9990137815475464,0.9261873960494995,0.05029689893126488,0.9983845949172974,0.07455363124608994,0.2201896607875824,0.047034844756126404,0.012161317281425,0.9698329567909241,0.026212269440293312,0.8616055250167847,0.03336293250322342,0.9846867918968201,0.9676341414451599,0.05532839521765709,0.9871723055839539,0.08018834888935089,0.9771437644958496,0.03786862641572952,0.9930809140205383,0.01690346747636795,0.9879875183105469,0.044563088566064835
50031,0.9651107788085938,0.7157132029533386,0.3384963274002075,0.9988697171211243,0.5797513127326965,0.999723494052887,0.5073501467704773,0.9930124878883362,0.07924728840589523,0.6459729671478271,0.009115510620176792,0.029044725000858307,0.11152978986501694,0.2517249882221222,0.9873721599578857,0.9981517195701599,0.12321174144744873,0.10583260655403137,0.9756686687469482,0.07102732360363007,0.7469195127487183,0.8101373910903931,0.9933980703353882,0.05837744474411011,0.06586230546236038,0.96675705909729
50032,0.2842482328414917,0.6822295188903809,0.7874374985694885,0.9367400407791138,0.05535614863038063,0.3884088695049286,0.17894355952739716,0.11542409658432007,0.1443517953157425,0.20476004481315613,0.9658679962158203,0.5817723274230957,0.13250021636486053,0.07940657436847687,0.9856309294700623,0.9672268033027649,0.9479579925537109,0.337726354598999,0.4154207706451416,0.36271604895591736,0.9925133585929871,0.11893709003925323,0.06533249467611313,0.743026852607727,0.12620510160923004,0.9378610253334045
